,Date,GHI
0,2012-01-06,176.33176
1,2012-01-13,187.1173
2,2012-01-20,209.39737
3,2012-01-27,215.67221
4,2012-02-03,224.68367
5,2012-02-10,227.53287
6,2012-02-17,243.37936
7,2012-02-24,259.17114
8,2012-03-02,258.61212
9,2012-03-09,262.1141
10,2012-03-16,270.8336
11,2012-03-23,275.036
12,2012-03-30,269.5937
13,2012-04-06,244.7656
14,2012-04-13,237.17987
15,2012-04-20,256.40347
16,2012-04-27,227.66745
17,2012-05-04,259.44855
18,2012-05-11,253.90797
19,2012-05-18,261.1396
20,2012-05-25,250.09753
21,2012-06-01,258.9784
22,2012-06-08,265.00604
23,2012-06-15,203.03981
24,2012-06-22,168.43721
25,2012-06-29,266.0971
26,2012-07-06,175.87524
27,2012-07-13,242.02782
28,2012-07-20,138.62192
29,2012-07-27,129.96721
30,2012-08-03,142.29204
31,2012-08-10,244.2302
32,2012-08-17,191.61061
33,2012-08-24,228.4327
34,2012-08-31,184.52242
35,2012-09-07,218.4337
36,2012-09-14,244.4575
37,2012-09-21,189.8517
38,2012-09-28,214.41583
39,2012-10-05,177.403
40,2012-10-12,215.39314
41,2012-10-19,172.63765
42,2012-10-26,188.41188
43,2012-11-02,135.34688
44,2012-11-09,174.22032
45,2012-11-16,170.49626
46,2012-11-23,153.06857
47,2012-11-30,166.15631
48,2012-12-07,165.005
49,2012-12-14,172.5315
50,2012-12-21,179.28629
51,2012-12-28,185.5933
52,2013-01-04,171.46904
53,2013-01-11,191.30399
54,2013-01-18,197.95474
55,2013-01-25,197.98657
56,2013-02-01,212.32701
57,2013-02-08,226.10986
58,2013-02-15,220.71167
59,2013-02-22,244.95967
60,2013-03-01,255.31027
61,2013-03-08,257.1849
62,2013-03-15,246.93184
63,2013-03-22,231.55707
64,2013-03-29,273.91104
65,2013-04-05,269.7461
66,2013-04-12,271.03143
67,2013-04-19,273.16748
68,2013-04-26,263.7768
69,2013-05-03,269.23508
70,2013-05-10,274.57132
71,2013-05-17,237.03088
72,2013-05-24,254.47258
73,2013-05-31,211.04752
74,2013-06-07,213.3498
75,2013-06-14,149.94102
76,2013-06-21,180.63339
77,2013-06-28,237.35356
78,2013-07-05,229.91072
79,2013-07-12,149.31296
80,2013-07-19,135.18335
81,2013-07-26,176.35237
82,2013-08-02,161.62282
83,2013-08-09,210.7166
84,2013-08-16,179.8673
85,2013-08-23,160.94263
86,2013-08-30,201.26524
87,2013-09-06,220.12025
88,2013-09-13,233.0256
89,2013-09-20,162.38031
90,2013-09-27,160.06747
91,2013-10-04,172.56764
92,2013-10-11,196.99628
93,2013-10-18,198.35553
94,2013-10-25,124.64567
95,2013-11-01,187.56953
96,2013-11-08,162.25343
97,2013-11-15,187.06122
98,2013-11-22,148.64253
99,2013-11-29,141.37326
100,2013-12-06,171.94994
101,2013-12-13,177.17671
102,2013-12-20,175.8214
103,2013-12-27,178.96611
104,2014-01-03,173.0908
105,2014-01-10,186.59274
106,2014-01-17,189.18315
107,2014-01-24,185.59927
108,2014-01-31,216.53415
109,2014-02-07,235.2855
110,2014-02-14,227.84904
111,2014-02-21,250.01613
112,2014-02-28,228.66214
113,2014-03-07,184.25706
114,2014-03-14,253.57642
115,2014-03-21,262.97733
116,2014-03-28,274.03265
117,2014-04-04,269.7483
118,2014-04-11,269.37637
119,2014-04-18,226.55804
120,2014-04-25,271.945
121,2014-05-02,271.3921
122,2014-05-09,236.18587
123,2014-05-16,274.8502
124,2014-05-23,270.1953
125,2014-05-30,271.71988
126,2014-06-06,262.58093
127,2014-06-13,265.25876
128,2014-06-20,188.55801
129,2014-06-27,201.98737
130,2014-07-04,238.65974
131,2014-07-11,181.4257
132,2014-07-18,144.59131
133,2014-07-25,201.79424
134,2014-08-01,207.2424
135,2014-08-08,243.88335
136,2014-08-15,244.36
137,2014-08-22,200.53448
138,2014-08-29,181.2777
139,2014-09-05,226.55592
140,2014-09-12,261.11777
141,2014-09-19,167.31819
142,2014-09-26,237.22144
143,2014-10-03,208.52477
144,2014-10-10,183.01534
145,2014-10-17,190.63255
146,2014-10-24,155.34984
147,2014-10-31,177.62204
148,2014-11-07,210.27512
149,2014-11-14,147.38881
150,2014-11-21,170.36247
151,2014-11-28,167.50093
152,2014-12-05,176.40648
153,2014-12-12,133.31044
154,2014-12-19,168.62805
155,2014-12-26,180.28854
